race,start,event_id,event_name,event_code,seats,alpha,lane,heat,distance,school,crew,cox,coach
58,2020-10-25T09:10:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,G,2,Division 1,2000,North Esk,['J.Barrett'],[],[]
58,2020-10-25T09:10:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,G,3,Division 1,2000,Tamar,['H.Youl'],[],[]
58,2020-10-25T09:10:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,G,4,Division 1,2000,Bucks,['A.Paterson'],[],[]
58,2020-10-25T09:10:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,G,5,Division 1,2000,Bucks,['L.Davey'],[],[]
58,2020-10-25T09:10:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,G,6,Division 1,2000,Tamar,['M.Digney'],[],[]
59,2020-10-25T09:16:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,H,1,Division 2,2000,North Esk,['R.Colley'],[],[]
59,2020-10-25T09:16:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,H,2,Division 2,2000,Tamar,['M.Wyton'],[],[]
59,2020-10-25T09:16:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,H,3,Division 2,2000,TUBC,['S.Casey'],[],[]
59,2020-10-25T09:16:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,H,4,Division 2,2000,Bucks,['H.Johnston'],[],[]
59,2020-10-25T09:16:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,H,5,Division 2,2000,North Esk,['R.Fenner'],[],[]
60,2020-10-25T09:22:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,I,1,Division 3,2000,Tamar,['W.Birchmore'],[],[]
60,2020-10-25T09:22:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,I,2,Division 3,2000,DMCRC,['S.Mollard'],[],[]
60,2020-10-25T09:22:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,I,3,Division 3,2000,Mersey,['J.Pears'],[],[]
60,2020-10-25T09:22:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,I,4,Division 3,2000,TUBC,['H.Bevan'],[],[]
60,2020-10-25T09:22:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,I,5,Division 3,2000,Bucks,['J.Wilson'],[],[]
60,2020-10-25T09:22:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,I,6,Division 3,2000,Tamar,['W.Rafferty'],[],[]
61,2020-10-25T09:28:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,J,2,Division 4,2000,Sandy Bay,['D.Fisher'],[],[]
61,2020-10-25T09:28:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,J,3,Division 4,2000,Tamar,['T.Bates'],[],[]
61,2020-10-25T09:28:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,J,4,Division 4,2000,Ulverstone,['A.Streeter'],[],[]
61,2020-10-25T09:28:00+00:00,42,Senior Men's Single Scull,S M 1X (2),1,J,5,Division 4,2000,Ulverstone,['M.Wilson'],[],[]
62,2020-10-25T09:34:00+00:00,43,Under 19 Men's Pair,U19 M 2-,2,K,1,Final,2000,Friends,"['R.Fox', 'C.Johnson']",[],[]
62,2020-10-25T09:34:00+00:00,43,Under 19 Men's Pair,U19 M 2-,2,K,2,Final,2000,New Norfolk,"['R.Browning', 'A.Monks']",[],[]
62,2020-10-25T09:34:00+00:00,43,Under 19 Men's Pair,U19 M 2-,2,K,3,Final,2000,New Norfolk,"['T.Morgan', 'A.Midson']",[],[]
62,2020-10-25T09:34:00+00:00,43,Under 19 Men's Pair,U19 M 2-,2,K,4,Final,2000,Friends,"['E.Wilkins', 'T.Neal']",[],[]
62,2020-10-25T09:34:00+00:00,43,Under 19 Men's Pair,U19 M 2-,2,K,5,Final,2000,Friends,"['T.Doyle', 'J.Downie']",[],[]
63,2020-10-25T09:40:00+00:00,44,Senior Women's Pair,S W 2-,2,L,2,Final,2000,Bucks,"['H.Dobbie', 'J.Janssens']",[],[]
63,2020-10-25T09:40:00+00:00,44,Senior Women's Pair,S W 2-,2,L,3,Final,2000,TUBC,"['S.Robinson', 'K.Oliver']",[],[]
63,2020-10-25T09:40:00+00:00,44,Senior Women's Pair,S W 2-,2,L,4,Final,2000,Bucks,"['C.Blyth', 'M.Messer']",[],[]
63,2020-10-25T09:40:00+00:00,44,Senior Women's Pair,S W 2-,2,L,5,Final,2000,New Norfolk,"['J.Stephens', 'M.McCausland']",[],[]
64,2020-10-25T09:46:00+00:00,45,Under 21 Women's Single Scull,U21 W 1X,1,M,1,Division 1,2000,North Esk,['E.Hepburn'],[],[]
64,2020-10-25T09:46:00+00:00,45,Under 21 Women's Single Scull,U21 W 1X,1,M,2,Division 1,2000,Mersey 2,['C.Brinkman'],[],[]
64,2020-10-25T09:46:00+00:00,45,Under 21 Women's Single Scull,U21 W 1X,1,M,3,Division 1,2000,Bucks,['P.Teale'],[],[]
64,2020-10-25T09:46:00+00:00,45,Under 21 Women's Single Scull,U21 W 1X,1,M,4,Division 1,2000,Mersey 1,['E.Marshall'],[],[]
64,2020-10-25T09:46:00+00:00,45,Under 21 Women's Single Scull,U21 W 1X,1,M,5,Division 1,2000,Kentish,['J.Welch'],[],['G.Scattergood']
64,2020-10-25T09:46:00+00:00,45,Under 21 Women's Single Scull,U21 W 1X,1,M,6,Division 1,2000,TUBC,['V.Mauderer'],[],[]
65,2020-10-25T09:52:00+00:00,45,Under 21 Women's Single Scull,U21 W 1X,1,N,1,Division 2,2000,Mersey 4,['C.Ellis'],[],[]
65,2020-10-25T09:52:00+00:00,45,Under 21 Women's Single Scull,U21 W 1X,1,N,2,Division 2,2000,Grammar,['A.Billing'],[],[]
65,2020-10-25T09:52:00+00:00,45,Under 21 Women's Single Scull,U21 W 1X,1,N,3,Division 2,2000,Grammar,['I.Goss'],[],[]
65,2020-10-25T09:52:00+00:00,45,Under 21 Women's Single Scull,U21 W 1X,1,N,4,Division 2,2000,Bucks,['R.Lang'],[],[]
65,2020-10-25T09:52:00+00:00,45,Under 21 Women's Single Scull,U21 W 1X,1,N,5,Division 2,2000,Mersey 3,['E.Gair'],[],[]
66,2020-10-25T09:58:00+00:00,46,Under 17 Men's Double Scull,U17 M 2X,2,O,2,Final,1500,TUBC,"['C.James', 'H.Paynter']",[],[]
66,2020-10-25T09:58:00+00:00,46,Under 17 Men's Double Scull,U17 M 2X,2,O,3,Final,1500,Huon,"['P.Robbie', 'J.Wynter']",[],['P.Newbon']
66,2020-10-25T09:58:00+00:00,46,Under 17 Men's Double Scull,U17 M 2X,2,O,4,Final,1500,New Norfolk,"['N.Lisson', 'J.Triffett']",[],['P.Nichols']
66,2020-10-25T09:58:00+00:00,46,Under 17 Men's Double Scull,U17 M 2X,2,O,5,Final,1500,New Norfolk,"['T.Browning', 'H.Thomas']",[],['P.Nichols']
67,2020-10-25T10:04:00+00:00,47,Masters Mixed Quad Scull 1000m,M Mixed 4X-,4,P,2,Division 1,1000,Ulverstone,"['K.Badcock', 'S.Wilson', 'M.Wilson', 'A.Streeter']",['ATHLETE UNKNOWN'],[]
67,2020-10-25T10:04:00+00:00,47,Masters Mixed Quad Scull 1000m,M Mixed 4X-,4,P,3,Division 1,1000,North Esk,"['S.Sonda', 'R.Ojeda', 'R.Wrigley', 'N.Servant']",['ATHLETE UNKNOWN'],[]
67,2020-10-25T10:04:00+00:00,47,Masters Mixed Quad Scull 1000m,M Mixed 4X-,4,P,4,Division 1,1000,Mersey,"['M.Greenhill', 'M.Hansen', 'S.Nowell', 'J.Pears']",['ATHLETE UNKNOWN'],[]
67,2020-10-25T10:04:00+00:00,47,Masters Mixed Quad Scull 1000m,M Mixed 4X-,4,P,5,Division 1,1000,Bucks,"['D.Ray', 'R.Hudson', 'G.Keppel', 'C.Vicars']",['ATHLETE UNKNOWN'],[]
68,2020-10-25T10:09:00+00:00,47,Masters Mixed Quad Scull 1000m,M Mixed 4X-,4,Q,1,Division 2,1000,DMCRC,"['T.Jackson', 'S.Greenwood', 'D.Devaka', 'R.Griffiths']",['ATHLETE UNKNOWN'],[]
68,2020-10-25T10:09:00+00:00,47,Masters Mixed Quad Scull 1000m,M Mixed 4X-,4,Q,2,Division 2,1000,Sandy Bay,"['K.Barker', 'S.Paine', 'P.Walker', 'M.Paine']",['ATHLETE UNKNOWN'],[]
68,2020-10-25T10:09:00+00:00,47,Masters Mixed Quad Scull 1000m,M Mixed 4X-,4,Q,3,Division 2,1000,Sandy Bay,"['M.Reardon', 'J.Pirie', 'D.Fisher', 'P.Brodribb']",['ATHLETE UNKNOWN'],[]
68,2020-10-25T10:09:00+00:00,47,Masters Mixed Quad Scull 1000m,M Mixed 4X-,4,Q,4,Division 2,1000,Bucks,"['D.Minnucci', 'M.Driessen', 'P.Vaszocz', 'M.Mace']",['ATHLETE UNKNOWN'],[]
68,2020-10-25T10:09:00+00:00,47,Masters Mixed Quad Scull 1000m,M Mixed 4X-,4,Q,5,Division 2,1000,DMCRC,"['Z.Brown', 'M.Muller', 'A.Jones', 'J.Hickman']",['ATHLETE UNKNOWN'],[]
69,2020-10-25T10:50:00+00:00,49,Under 19 Women's Eight,U19 W 8+,8,R,2,Final,2000,DMCRC,"['R.Forsyth', 'A.McCoid', 'E.Shelley', 'E.Bird', 'M.Prescott', 'A.McMahon', 'H.Curry', 'P.Davis']",['C.Bayley'],['N.Stump']
69,2020-10-25T10:50:00+00:00,49,Under 19 Women's Eight,U19 W 8+,8,R,3,Final,2000,TUBC,"['S.Rule', 'A.Schrader', 'T.Thomas', 'G.Woodhouse', 'M.Lamb', 'V.Mauderer', 'S.Robinson', 'S.Russell']",['K.Oliver'],[]
69,2020-10-25T10:50:00+00:00,49,Under 19 Women's Eight,U19 W 8+,8,R,4,Final,2000,Friends,"['J.Powell-Davies', 'A.Gardner', 'C.Hornett', 'E.Underwood', 'C.Balmforth', 'K.Fajrianto', 'M.White', 'C.Ralph']",['I.Fox'],['T.Pilkington']
69,2020-10-25T10:50:00+00:00,49,Under 19 Women's Eight,U19 W 8+,8,R,5,Final,2000,New Norfolk,"['L.Midson', 'L.Morgan', 'R.Morgan', 'J.Lobb', 'C.Geappen', 'E.Triffett', 'E.Lisson', 'C.Forster']",['J.Triffett'],"['K.Graham', 'P.Hansen']"
70,2020-10-25T10:56:00+00:00,50,Senior Men's Coxless Four,S M 4-,4,S,2,Final,2000,TUBC,"['A.Paynter', 'H.Bevan', 'S.Casey', 'S.Hall']",[],[]
71,2020-10-25T11:02:00+00:00,52,Under 21 Men's Coxless Four,U21 M 4-,4,T,2,Final,2000,Bucks,"['J.Connolly', 'J.Wilson', 'H.Johnston', 'T.Messer']",[],[]
71,2020-10-25T11:02:00+00:00,52,Under 21 Men's Coxless Four,U21 M 4-,4,T,3,Final,2000,New Norfolk,"['T.Morgan', 'R.Browning', 'A.Monks', 'A.Midson']",[],[]
71,2020-10-25T11:02:00+00:00,52,Under 21 Men's Coxless Four,U21 M 4-,4,T,5,Final,2000,Tamar,"['O.Marsden', 'W.Birchmore', 'M.Digney', 'H.Youl']",[],[]
72,2020-10-25T11:12:00+00:00,53,Masters Women's Double Scull,M W 2X,2,U,1,Division 1,1000,North Esk,"['H.Dixon', 'J.Fenner']",[],[]
72,2020-10-25T11:12:00+00:00,53,Masters Women's Double Scull,M W 2X,2,U,2,Division 1,1000,Huon,"['E.Lancaster', 'L.Cooper']",[],[]
72,2020-10-25T11:12:00+00:00,53,Masters Women's Double Scull,M W 2X,2,U,3,Division 1,1000,Lindisfarne,"['J.Johnstone', 'J.Hope']",[],[]
72,2020-10-25T11:12:00+00:00,53,Masters Women's Double Scull,M W 2X,2,U,4,Division 1,1000,Ulverstone,"['K.Badcock', 'S.Wilson']",[],[]
72,2020-10-25T11:12:00+00:00,53,Masters Women's Double Scull,M W 2X,2,U,5,Division 1,1000,Sandy Bay,"['M.Reardon', 'P.Brodribb']",[],[]
73,2020-10-25T11:17:00+00:00,53,Masters Women's Double Scull,M W 2X,2,V,1,Division 2,1000,Bucks,"['M.Mace', 'F.Ward']",[],[]
73,2020-10-25T11:17:00+00:00,53,Masters Women's Double Scull,M W 2X,2,V,2,Division 2,1000,Sandy Bay,"['K.Barker', 'S.Paine']",[],[]
73,2020-10-25T11:17:00+00:00,53,Masters Women's Double Scull,M W 2X,2,V,3,Division 2,1000,DMCRC,"['Z.Brown', 'J.Hickman']",[],[]
73,2020-10-25T11:17:00+00:00,53,Masters Women's Double Scull,M W 2X,2,V,4,Division 2,1000,North Esk,"['S.Sonda', 'N.Servant']",[],[]
73,2020-10-25T11:17:00+00:00,53,Masters Women's Double Scull,M W 2X,2,V,5,Division 2,1000,Ulverstone,"['B.Schultz', 'R.Gray']",[],[]
74,2020-10-25T11:22:00+00:00,53,Masters Women's Double Scull,M W 2X,2,W,2,Division 3,1000,Ulverstone,"['D.Johnston', 'J.Streeter']",[],[]
74,2020-10-25T11:22:00+00:00,53,Masters Women's Double Scull,M W 2X,2,W,3,Division 3,1000,Bucks,"['D.Ray', 'M.Driessen']",[],[]
74,2020-10-25T11:22:00+00:00,53,Masters Women's Double Scull,M W 2X,2,W,4,Division 3,1000,Mersey,"['M.Hansen', 'M.Greenhill']",[],[]
74,2020-10-25T11:22:00+00:00,53,Masters Women's Double Scull,M W 2X,2,W,5,Division 3,1000,DMCRC,"['S.Greenwood', 'R.Griffiths']",[],[]
75,2020-10-25T11:27:00+00:00,54,Masters Men's Coxless Four,M M 4-,4,X,1,Final,1000,New Norfolk,"['J.Triffett', 'O.Coulson', 'T.Browning', 'H.Thomas']",['L.Thomas'],['P.Nichols']
75,2020-10-25T11:27:00+00:00,54,Masters Men's Coxless Four,M M 4-,4,X,3,Final,1000,TUBC/Sandy Bay,"['M.Vermey [TUBC]', 'R.Mauderer [TUBC]', 'P.Walker [SDBAY]', 'M.Nermut [TUBC]']",['ATHLETE UNKNOWN'],[]
75,2020-10-25T11:27:00+00:00,54,Masters Men's Coxless Four,M M 4-,4,X,4,Final,1000,DMCRC,"['R.Stephens', 'T.Jackson', 'D.Devaka', 'A.Jones']",['ATHLETE UNKNOWN'],[]
75,2020-10-25T11:27:00+00:00,54,Masters Men's Coxless Four,M M 4-,4,X,5,Final,1000,Bucks,"['W.Ayliffe', 'D.Minnucci', 'P.Vaszocz', 'T.Otte']",['ATHLETE UNKNOWN'],[]
76,2020-10-25T11:37:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,Y,1,Division 1,1500,DMCRC,['A.McCoid'],[],['N.Stump']
76,2020-10-25T11:37:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,Y,2,Division 1,1500,Bucks,['M.White'],[],[]
76,2020-10-25T11:37:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,Y,3,Division 1,1500,Kentish,['J.Welch'],[],['G.Scattergood']
76,2020-10-25T11:37:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,Y,4,Division 1,1500,Mersey 1,['M.Castles'],[],[]
76,2020-10-25T11:37:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,Y,5,Division 1,1500,Tamar,['C.Stewart'],[],[]
76,2020-10-25T11:37:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,Y,6,Division 1,1500,TUBC,['A.Fry'],[],[]
77,2020-10-25T11:43:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,Z,1,Division 2,1500,Mersey 2,['O.Yeates'],[],[]
77,2020-10-25T11:43:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,Z,2,Division 2,1500,New Norfolk,['L.Morgan'],[],['P.Hansen']
77,2020-10-25T11:43:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,Z,3,Division 2,1500,New Norfolk,['J.Lobb'],[],['P.Hansen']
77,2020-10-25T11:43:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,Z,4,Division 2,1500,New Norfolk,['R.Morgan'],[],['P.Hansen']
77,2020-10-25T11:43:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,Z,5,Division 2,1500,Mersey 3,['S.Ellis'],[],[]
78,2020-10-25T11:49:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,A,1,Division 3,1500,TUBC,['P.Kennett'],[],[]
78,2020-10-25T11:49:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,A,2,Division 3,1500,Bucks,['H.Teale'],[],[]
78,2020-10-25T11:49:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,A,3,Division 3,1500,Sandy Bay,['U.Nation'],[],['L.Ims']
78,2020-10-25T11:49:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,A,4,Division 3,1500,Tamar,['R.Hudson'],[],[]
78,2020-10-25T11:49:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,A,5,Division 3,1500,New Norfolk,['E.Coulson'],[],['P.Hansen']
78,2020-10-25T11:49:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,A,6,Division 3,1500,Mersey,['M.Spaulding'],[],[]
79,2020-10-25T11:55:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,B,2,Division 4,1500,New Norfolk,['L.Midson'],[],['P.Hansen']
79,2020-10-25T11:55:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,B,3,Division 4,1500,TUBC,['S.Mitchelmore'],[],[]
79,2020-10-25T11:55:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,B,4,Division 4,1500,Bucks,['E.Ralph'],[],[]
79,2020-10-25T11:55:00+00:00,56,Under 17 Women's Single Scull,U17 W 1X,1,B,5,Division 4,1500,TUBC,['M.Cocker'],[],[]
80,2020-10-25T12:05:00+00:00,57,Under 21 Women's Coxless Quad,U21 W 4X-,4,C,2,Final,2000,Mersey 1,"['C.Ellis', 'E.Gair', 'C.Brinkman', 'E.Marshall']",[],[]
80,2020-10-25T12:05:00+00:00,57,Under 21 Women's Coxless Quad,U21 W 4X-,4,C,3,Final,2000,Mersey 2,"['S.Grave', 'E.Spaulding', 'L.Tippett', 'P.Tippett']",[],[]
80,2020-10-25T12:05:00+00:00,57,Under 21 Women's Coxless Quad,U21 W 4X-,4,C,4,Final,2000,North Esk/Grammar,"['I.Goss [LCGS]', 'A.Billing [LCGS]', 'E.Hepburn [NESK]', 'G.Brown [NESK]']",[],[]
80,2020-10-25T12:05:00+00:00,57,Under 21 Women's Coxless Quad,U21 W 4X-,4,C,5,Final,2000,New Norfolk,"['E.Triffett', 'E.Lisson', 'J.Stephens', 'M.McCausland']",[],[]
81,2020-10-25T12:11:00+00:00,58,Senior Men's Double Scull,S M 2X,2,D,2,Division 1,2000,Tamar,"['W.Birchmore', 'H.Youl']",[],[]
81,2020-10-25T12:11:00+00:00,58,Senior Men's Double Scull,S M 2X,2,D,3,Division 1,2000,North Esk,"['J.Barrett', 'R.Ojeda']",[],[]
81,2020-10-25T12:11:00+00:00,58,Senior Men's Double Scull,S M 2X,2,D,4,Division 1,2000,Tamar,"['O.Marsden', 'M.Digney']",[],[]
81,2020-10-25T12:11:00+00:00,58,Senior Men's Double Scull,S M 2X,2,D,5,Division 1,2000,North Esk,"['R.Fenner', 'R.Colley']",[],[]
82,2020-10-25T12:17:00+00:00,58,Senior Men's Double Scull,S M 2X,2,E,2,Division 2,2000,Mersey,"['H.Nield', 'J.Pears']",[],[]
82,2020-10-25T12:17:00+00:00,58,Senior Men's Double Scull,S M 2X,2,E,3,Division 2,2000,Tamar,"['W.Rafferty', 'M.Wyton']",[],[]
82,2020-10-25T12:17:00+00:00,58,Senior Men's Double Scull,S M 2X,2,E,4,Division 2,2000,TUBC,"['A.Hutchinson', 'S.Casey']",[],[]
83,2020-10-25T13:05:00+00:00,61,Senior Women's Coxless Quad Scull,S W 4X-,4,F,2,Final,2000,TUBC,"['M.Lamb', 'T.Thomas', 'S.Robinson', 'K.Oliver']",[],[]
83,2020-10-25T13:05:00+00:00,61,Senior Women's Coxless Quad Scull,S W 4X-,4,F,3,Final,2000,Huon,"['L.Hocking', 'K.Cook', 'K.Hall', 'E.Mure']",[],['P.Newbon']
83,2020-10-25T13:05:00+00:00,61,Senior Women's Coxless Quad Scull,S W 4X-,4,F,4,Final,2000,North Esk,"['S.Ashlin', 'L.Wrigley', 'A.Boutcher', 'J.Malisauskas']",[],[]
83,2020-10-25T13:05:00+00:00,61,Senior Women's Coxless Quad Scull,S W 4X-,4,F,5,Final,2000,Bucks,"['R.Lang', 'C.Blyth', 'M.Messer', 'H.Dobbie']",[],[]
84,2020-10-25T13:11:00+00:00,62,Under 19 Men's Single Scull,U19 M 1X,1,G,1,Division 1,2000,Bucks,['J.Wilson'],[],[]
84,2020-10-25T13:11:00+00:00,62,Under 19 Men's Single Scull,U19 M 1X,1,G,2,Division 1,2000,Friends,['T.Neal'],[],[]
84,2020-10-25T13:11:00+00:00,62,Under 19 Men's Single Scull,U19 M 1X,1,G,3,Division 1,2000,TUBC,['A.Paynter'],[],[]
84,2020-10-25T13:11:00+00:00,62,Under 19 Men's Single Scull,U19 M 1X,1,G,4,Division 1,2000,New Norfolk,['T.Morgan'],[],[]
84,2020-10-25T13:11:00+00:00,62,Under 19 Men's Single Scull,U19 M 1X,1,G,5,Division 1,2000,TUBC,['H.Bevan'],[],[]
84,2020-10-25T13:11:00+00:00,62,Under 19 Men's Single Scull,U19 M 1X,1,G,6,Division 1,2000,New Norfolk,['A.Midson'],[],[]
85,2020-10-25T13:17:00+00:00,62,Under 19 Men's Single Scull,U19 M 1X,1,H,2,Division 2,2000,Friends,['C.Johnson'],[],[]
85,2020-10-25T13:17:00+00:00,62,Under 19 Men's Single Scull,U19 M 1X,1,H,3,Division 2,2000,Mersey,['H.Nield'],[],[]
85,2020-10-25T13:17:00+00:00,62,Under 19 Men's Single Scull,U19 M 1X,1,H,4,Division 2,2000,Friends,['E.Wilkins'],[],[]
85,2020-10-25T13:17:00+00:00,62,Under 19 Men's Single Scull,U19 M 1X,1,H,5,Division 2,2000,Friends,['J.Downie'],[],[]
86,2020-10-25T13:23:00+00:00,63,Under 21 Men's Double Scull,U21 M 2X,2,I,2,Final,2000,Bucks,"['T.Messer', 'H.Johnston']",[],[]
86,2020-10-25T13:23:00+00:00,63,Under 21 Men's Double Scull,U21 M 2X,2,I,3,Final,2000,New Norfolk,"['R.Browning', 'A.Monks']",[],[]
87,2020-10-25T13:29:00+00:00,64,Under 19 Women's Double Scull,U19 W 2X,2,J,1,Division 1,2000,Mersey 2,"['S.Grave', 'C.Greenhill']",[],[]
